Item name,Slot,Source,SP Gain,effective_SPGain,DataFrame
Gloves of the Hypnotic Flame,Hands,Molten Core,14.8,8.288000000000002,dougie
Runesword of the Red,MH,Quest,13.08,8.2404,dmoney
Rockfury Bracers,Bracer,Quest,10.0,8.2,phuss
Zandalar Illusionist's Robe,Chest,Quest,14.6,8.176,dougie
Choker of the Fire Lord,Neck,Molten Core,12.88,8.1144,dmoney
Mana Igniting Cord,Belt,Molten Core,12.85,8.0955,dmoney
Mindtear Band,Ring,World Boss,9.83,8.060599999999999,phuss
Sageclaw,MH,PvP,13.92,7.7952,dougie
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,12.19,7.6796999999999995,dmoney
Firemaw's Clutch,Belt,Blackwing Lair,12.13,7.641900000000001,dmoney
Mana Igniting Cord,Belt,Molten Core,10.88,7.5072,icyhot
Black Bark Wristbands,Bracer,World Boss,9.14,7.4948,phuss
Netherwind Gloves,Hands,Blackwing Lair,13.03,7.2968,dougie
Firemaw's Clutch,Belt,Blackwing Lair,10.51,7.251899999999999,icyhot
Snowblind Shoes,Boots,World Boss,12.55,7.028000000000001,dougie
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,12.47,6.983200000000001,dougie
Signet Ring of the Bronze Dragonflight,Ring,Faction,11.01,6.9363,dmoney
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,8.37,6.863399999999999,phuss
Ring of Spell Power,Ring,Molten Core,7.99,6.5518,phuss
Rune of the Dawn,Trinket,Quest,19.0,6.460000000000001,yinnifer
Rockfury Bracers,Bracer,Quest,10.17,6.4071,dmoney
Mindtear Band,Ring,World Boss,8.85,6.1065,icyhot
Betrayer's Boots,Boots,Zul'Gurub,10.87,6.0872,dougie
Dryad's Wrist Bindings,Bracer,PvP,7.21,5.9121999999999995,phuss
Black Bark Wristbands,Bracer,World Boss,9.24,5.8212,dmoney
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,9.08,5.7204,dmoney
Ring of Spell Power,Ring,Molten Core,8.26,5.6994,icyhot
Band of Vaulted Secrets,Ring,AQ20,9.02,5.6826,dmoney
Rockfury Bracers,Bracer,Quest,10.11,5.6616,dougie
Cloak of the Brood Lord,Back,Blackwing Lair,6.79,5.5678,phuss
Shackles of the Unscarred,Bracer,AQ20,6.68,5.4776,phuss
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,6.68,5.4776,phuss
Netherwind Bindings,Bracer,Blackwing Lair,6.5,5.33,phuss
Black Bark Wristbands,Bracer,World Boss,9.21,5.157600000000001,dougie
Bloodcaller,MH,Zul'Gurub,9.13,5.112800000000001,dougie
Neltharion's Tear,Trinket,Blackwing Lair,15.0,5.1000000000000005,yinnifer
Gloves of Delusional Power,Hands,World,8.98,5.0288,dougie
Claw of Chromaggus,MH,Blackwing Lair,14.67,4.9878,yinnifer
Mantle of the Blackwing Cabal,Shoulder,Blackwing Lair,14.38,4.889200000000001,yinnifer
Netherwind Boots,Boots,Blackwing Lair,8.6,4.816,dougie
Signet Ring of the Bronze Dragonflight,Ring,Faction,5.83,4.7806,phuss
Charm of the Shifting Sands,Neck,AQ20,6.79,4.685099999999999,icyhot
Dryad's Wrist Bindings,Bracer,PvP,7.26,4.5738,dmoney
Marshal's Silk Gloves,Hands,PvP,8.13,4.552800000000001,dougie
Cloak of the Brood Lord,Back,Blackwing Lair,6.54,4.5126,icyhot
Choker of the Fire Lord,Neck,Molten Core,12.93,4.3962,yinnifer
Mana Igniting Cord,Belt,Molten Core,12.86,4.3724,yinnifer
Shadow Wing Focus Staff,2H,Blackwing Lair,6.33,4.3677,icyhot
Runesword of the Red,MH,Quest,12.8,4.352,yinnifer
"""Green Boots"" of Fiery Wrath",Boots,World,7.59,4.2504,dougie
"Mish'undare, Circlet of the Mind Flayer",Helm,Blackwing Lair,12.45,4.233,yinnifer
Shackles of the Unscarred,Bracer,AQ20,6.67,4.2021,dmoney
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,6.67,4.2021,dmoney
Netherwind Bindings,Bracer,Blackwing Lair,6.44,4.0572,dmoney
Dryad's Wrist Bindings,Bracer,PvP,7.24,4.0544,dougie
Firemaw's Clutch,Belt,Blackwing Lair,11.87,4.0358,yinnifer
Signet Ring of the Bronze Dragonflight,Ring,Faction,5.83,4.0226999999999995,icyhot
Tome of Fiery Arcana,OH,PvP,7.09,3.9704,dougie
Touch of Chaos,Wand,Zul'Gurub,6.17,3.8870999999999998,dmoney
Fire Striders,Boots,Stratholme Living,6.89,3.8584,dougie
Elemental Attuned Blade,MH,BoE,6.71,3.7576000000000005,dougie
Shackles of the Unscarred,Bracer,AQ20,6.67,3.7352000000000003,dougie
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,6.67,3.7352000000000003,dougie
Ironbark Staff,2H,PvP,5.38,3.7121999999999997,icyhot
Band of Vaulted Secrets,Ring,AQ20,4.49,3.6818,phuss
Netherwind Bindings,Bracer,Blackwing Lair,6.46,3.6176000000000004,dougie
Sandworm Skin Gloves,Hands,Quest,6.33,3.5448000000000004,dougie
Atal'ai Gloves,Hands,Sunken Temple,10.42,3.5428,yinnifer
Rune Band of Wizardry,Ring,UBRS,5.01,3.4568999999999996,icyhot
Knight-Captain's Silk Tunic,Chest,PvP,6.14,3.4384,dougie
Leggings of the Black Blizzard,Legs,AQ20,5.37,3.3831,dmoney
Hands of Power,Hands,LBRS,5.91,3.3096000000000005,dougie
Flameweave Cuffs of Fiery Wrath,Bracer,Blackrock Depths,4.0,3.28,phuss
Tearfall Bracers of Fiery Wrath,Bracer,Stratholme,4.0,3.28,phuss
"""Green Bracers"" of Fiery Wrath",Bracer,BoE,4.0,3.28,phuss
Cloak of the Brood Lord,Back,Blackwing Lair,5.85,3.2760000000000002,dougie
Spellweaver's Turban,Helm,UBRS,4.72,3.2567999999999997,icyhot
Rune Band of Wizardry,Ring,UBRS,3.9,3.198,phuss
Charm of the Shifting Sands,Neck,AQ20,4.92,3.0996,dmoney
Angelista's Grasp,Belt,Blackwing Lair,4.49,3.0981,icyhot
Gloves of the Hypnotic Flame,Hands,Molten Core,8.77,2.9818000000000002,yinnifer
Elemental Focus Band,Ring,Silithus,4.59,2.8916999999999997,dmoney
Atal'ai Gloves,Hands,Sunken Temple,4.12,2.8428,icyhot
Atal'ai Gloves,Hands,Sunken Temple,4.41,2.7783,dmoney
Draconic Infused Emblem,Trinket,UBRS,4.33,2.7279,dmoney
Flaming Band,Ring,UBRS,4.3,2.709,dmoney
Belt of Untapped Power,Belt,Zul'Gurub,4.26,2.6837999999999997,dmoney
Tearfall Bracers of Fiery Wrath,Bracer,Stratholme,4.17,2.6271,dmoney
"""Green Bracers"" of Fiery Wrath",Bracer,BoE,4.17,2.6271,dmoney
Flameweave Cuffs of Fiery Wrath,Bracer,Blackrock Depths,4.17,2.6271,dmoney
Narcreous Shell Necklace,Neck,Stratholme - Living,3.76,2.5944,icyhot
Diana's Pearl Necklace,Neck,Stratholme - Living,3.76,2.5944,icyhot
Band of Vaulted Secrets,Ring,AQ20,3.7,2.553,icyhot
Draconic Infused Emblem,Trinket,UBRS,4.33,2.4248000000000003,dougie
"""Green Shoulders"" of Fiery Wrath",Shoulder,BoE,7.12,2.4208000000000003,yinnifer
Netherwind Gloves,Hands,Blackwing Lair,7.05,2.3970000000000002,yinnifer
Band of Forced Concentration,Ring,Blackwing Lair,3.8,2.3939999999999997,dmoney
"""Green Bracers"" of Fiery Wrath",Bracer,BoE,4.11,2.3016000000000005,dougie
Flameweave Cuffs of Fiery Wrath,Bracer,Blackrock Depths,4.11,2.3016000000000005,dougie
Tearfall Bracers of Fiery Wrath,Bracer,Stratholme,4.11,2.3016000000000005,dougie
Lieutenant Commander's Silk Mantle,Shoulder,PvP,5.62,1.9108000000000003,yinnifer
Belt of Untapped Power,Belt,Zul'Gurub,2.71,1.8699,icyhot
Field Marshal's Silk Spaulders,Shoulder,PvP,5.48,1.8632000000000002,yinnifer
Leggings of the Black Blizzard,Legs,AQ20,5.36,1.8224000000000002,yinnifer
Arcanist Boots,Boots,Molten Core,3.22,1.8032000000000004,dougie
Gloves of the Hypnotic Flame,Hands,Molten Core,2.84,1.7892,dmoney
Mindtear Band,Ring,World Boss,5.22,1.7748,yinnifer
Charm of the Shifting Sands,Neck,AQ20,4.94,1.6796000000000002,yinnifer
Gloves of Spell Mastery,Hands,Crafted,2.86,1.6016000000000001,dougie
Gloves of the Hypnotic Flame,Hands,Molten Core,2.27,1.5662999999999998,icyhot
Ring of the Desert Winds,Ring,AQ20,2.39,1.5057,dmoney
Draconic Infused Emblem,Trinket,UBRS,4.33,1.4722000000000002,yinnifer
Sorcerer's Boots,Boots,Quest,2.6,1.4560000000000002,dougie
Wrath of Cenarius,Ring,Quest,2.3,1.4489999999999998,dmoney
Rockfury Bracers,Bracer,Quest,4.22,1.4348,yinnifer
Belt of Untapped Power,Belt,Zul'Gurub,4.02,1.3668,yinnifer
Jeklik's Opaline Talisman,Neck,Zul'Gurub,1.97,1.3593,icyhot
Ring of Spell Power,Ring,Molten Core,3.99,1.3566000000000003,yinnifer
Orb of the Darkmoon,Neck,Darkmoon Faire,1.95,1.3455,icyhot
Zanzil's Seal,Ring,Zul'Gurub,1.94,1.3385999999999998,icyhot
Marshal's Silk Footwraps,Boots,PvP,1.94,1.2222,dmoney
Black Bark Wristbands,Bracer,World Boss,3.27,1.1118000000000001,yinnifer
"""Green Shoulders"" of Fiery Wrath",Shoulder,BoE,1.75,1.1025,dmoney
Netherwind Belt,Belt,Blackwing Lair,1.74,1.0962,dmoney
Marshal's Silk Footwraps,Boots,PvP,1.93,1.0808,dougie
Atal'ai Gloves,Hands,Sunken Temple,1.28,1.0495999999999999,phuss
Gloves of Delusional Power,Hands,World,2.98,1.0132,yinnifer
Bloodtinged Gloves,Hands,Zul'Gurub,1.4,0.9659999999999999,icyhot
Zanzil's Seal,Ring,Zul'Gurub,1.13,0.9265999999999999,phuss
Pyric Caduceus,Wand,Blackrock Depths,1.17,0.7371,dmoney
Lunar Wand of Fiery Wrath,Wand,World,1.17,0.7371,dmoney
Marshal's Silk Gloves,Hands,PvP,2.16,0.7344,yinnifer
Netherwind Mantle,Shoulder,Blackwing Lair,2.16,0.7344,yinnifer
Cloak of Consumption,Back,Zul'Gurub,0.89,0.7298,phuss
Marshal's Silk Footwraps,Boots,PvP,1.95,0.663,yinnifer
"""Green Shoulders"" of Fiery Wrath",Shoulder,BoE,0.8,0.656,phuss
Signet Ring of the Bronze Dragonflight,Ring,Faction,1.65,0.561,yinnifer
Mantle of Maz'Nadir,Shoulder,AQ20,1.6,0.544,yinnifer
Netherwind Gloves,Hands,Blackwing Lair,0.81,0.5103000000000001,dmoney
Ring of Blackrock,Ring,Blackwing Lair,0.8,0.504,dmoney
Netherwind Belt,Belt,Blackwing Lair,1.44,0.48960000000000004,yinnifer
Talon of Furious Concentration,OH,AQ20,0.79,0.44240000000000007,dougie
Dryad's Wrist Bindings,Bracer,PvP,1.27,0.4318,yinnifer
Snowblind Shoes,Boots,World Boss,0.67,0.42210000000000003,dmoney
Bracers of Arcane Accuracy,Bracer,Blackwing Lair,0.66,0.22440000000000002,yinnifer
Shackles of the Unscarred,Bracer,AQ20,0.66,0.22440000000000002,yinnifer
Field Marshal's Coronet,Helm,PvP,0.31,0.21389999999999998,icyhot
Fang of the Mystics,MH,World,0.22,0.18039999999999998,phuss
Ban'thok Sash,Belt,Blackrock Depths,0.23,0.1587,icyhot
Fang of the Mystics,MH,World,0.25,0.1575,dmoney
Earth Warder's Gloves,Hands,Quest,0.27,0.15120000000000003,dougie
Snowblind Shoes,Boots,World Boss,0.44,0.1496,yinnifer
Sandworm Skin Gloves,Hands,Quest,0.44,0.1496,yinnifer
Netherwind Bindings,Bracer,Blackwing Lair,0.42,0.1428,yinnifer
Field Marshal's Silk Spaulders,Shoulder,PvP,0.17,0.10710000000000001,dmoney
Talisman of Ephemeral Power,Trinket,Molten Core,0.17,0.10710000000000001,dmoney
Talisman of Ephemeral Power,Trinket,Molten Core,0.17,0.09520000000000002,dougie
Fang of the Mystics,MH,World,0.26,0.0884,yinnifer
Maiden's Circle,Ring,World,0.12,0.0756,dmoney
Talisman of Ephemeral Power,Trinket,Molten Core,0.17,0.05780000000000001,yinnifer
Therazane's Touch,OH,PvP,0.09,0.0504,dougie
